Cycle,t,t-1,t-2,diameter
101,145.8333,146.6667,147.5,16
102,145.25,145.8333,146.6667,16
103,144.5,145.25,145.8333,16
104,143.6667,144.5,145.25,16
105,142.9167,143.6667,144.5,16
106,142,142.9167,143.6667,16
107,141.0833,142,142.9167,16
108,140.25,141.0833,142,16
109,139.1667,140.25,141.0833,16
,,,140.25,
